EntityID,AddressLine,Locality,AdminDistrict,PostalCode,CountryRegion,Phone,Manager,Latitude,Longitude
1437185,2029 MARKET ST,San Francisco,CA,28862,United States,,,37.76831006,-122.4274165
1336193,1888 MISSION ST,San Francisco,CA,28853,United States,,,37.7668976,-122.4203225
1430868,101 CALIFORNIA ST,San Francisco,CA,28860,United States,,,37.79294895,-122.3980986
1430869,160 PINE ST,San Francisco,CA,28860,United States,,,37.79252494,-122.3994158
1338990,185 BERRY ST,San Francisco,CA,28856,United States,,,37.77632715,-122.3917968
1338986,185 BERRY ST,San Francisco,CA,28856,United States,,,37.77632715,-122.3917968
1338991,90 BROADWAY,San Francisco,CA,28860,United States,,,37.79926011,-122.3996179
1340316,945 BRYANT ST,San Francisco,CA,28853,United States,,,37.77309408,-122.4051459
1313015,90 BROADWAY,San Francisco,CA,28860,United States,,,37.79926011,-122.3996179
1336747,3450 03RD ST,San Francisco,CA,58,United States,,,37.74572922,-122.3877977
1336757,Assessors Block 4755/Lot049,San Francisco,CA,58,United States,,,37.72638293,-122.3784348
1336763,250 NAPOLEON ST,San Francisco,CA,58,United States,,,37.74675555,-122.4009063
1336730,222 02ND ST,San Francisco,CA,28855,United States,,,37.7863198,-122.3982351
1336738,400 BEALE ST,San Francisco,CA,28855,United States,,,37.78690492,-122.3909203
1336758,Assessors Block 4644/Lot008,San Francisco,CA,58,United States,,,37.73090615,-122.3733026
735318,5 THE EMBARCADERO,San Francisco,CA,28855,United States,,,37.794331,-122.3958111
1336760,10 LOOMIS ST,San Francisco,CA,58,United States,,,37.74378392,-122.4037888
1336742,50 CALIFORNIA ST,San Francisco,CA,28860,United States,,,37.79405318,-122.3973477
1336675,435 23RD ST,San Francisco,CA,28856,United States,,,37.75503073,-122.3845307
1336731,3305 03RD ST,San Francisco,CA,58,United States,,,37.74383117,-122.3777974
1336737,2555 BAY SHORE BLVD,San Francisco,CA,309,United States,,,37.70937546,-122.4041544
1336735,1301 CESAR CHAVEZ ST,San Francisco,CA,58,United States,,,37.74925586,-122.3909754
1336686,1310 MINNESOTA ST,San Francisco,CA,28856,United States,,,37.7536999,-122.3900683
1336676,Assessors Block 8722/Lot005,San Francisco,CA,310,United States,,,37.76964003,-122.3862367
1336767,300 NEWHALL ST,San Francisco,CA,58,United States,,,37.74322468,-122.385343
1336741,1575 BURKE AVE,San Francisco,CA,58,United States,,,37.74417845,-122.3867159
1336753,1650 DAVIDSON AVE,San Francisco,CA,58,United States,,,37.7467113,-122.3921503
1336755,1801 EVANS AVE,San Francisco,CA,58,United States,,,37.7445912,-122.3930769
1336733,3433 03RD ST,San Francisco,CA,,United States,,,0,0
1336751,1555 BURKE AVE,San Francisco,CA,58,United States,,,37.74371348,-122.3859648
1336750,1570 BURKE AVE,San Francisco,CA,58,United States,,,37.74475219,-122.3856792
1340311,175 BARNEVELD AVE,San Francisco,CA,58,United States,,,37.74480242,-122.4025402
1334930,3839 WASHINGTON ST,San Francisco,CA,54,United States,,,37.78858366,-122.4560599
1337425,931 PALOU AVE,San Francisco,CA,58,United States,,,37.72673391,-122.378972
1337456,201 FOLSOM ST,San Francisco,CA,28855,United States,,,37.78814528,-122.3911819
1337271,625 02ND ST,San Francisco,CA,28856,United States,,,37.78168898,-122.3910618
1337454,1153 SHAFTER AVE,San Francisco,CA,58,United States,,,37.72648516,-122.3832325
1337428,1145 REVERE AVE,San Francisco,CA,58,United States,,,37.72659048,-122.3817522
1337451,Assessors Block 3720/Lot001,San Francisco,CA,28855,United States,,,37.78969137,-122.3965956
1336889,15 MARINA BLVD,San Francisco,CA,57,United States,,,37.80457787,-122.4330108
1336964,3253 16TH ST,San Francisco,CA,28859,United States,,,37.76445952,-122.4251614
1336886,250 PINE ST,San Francisco,CA,28854,United States,,,37.7922956,-122.4007069
1340417,425 HAYES ST,San Francisco,CA,28852,United States,,,37.7765669,-122.4233954
1336962,1265 GROVE ST,San Francisco,CA,29492,United States,,,37.77577437,-122.4373316
1336955,351 CALIFORNIA ST,San Francisco,CA,28854,United States,,,37.79287075,-122.4007475
1336890,735 MONTGOMERY ST,San Francisco,CA,28860,United States,,,37.7962155,-122.4037546
1336888,401 CALIFORNIA ST,San Francisco,CA,28854,United States,,,37.79279574,-122.4013533
1336958,170 OTIS ST,San Francisco,CA,,United States,,,0,0
1336959,949 PRESIDIO AVE,San Francisco,CA,54,United States,,,37.78392207,-122.4467216
1336887,556 SUTTER ST,San Francisco,CA,28857,United States,,,37.78938545,-122.4095913
1336963,1477 GROVE ST,San Francisco,CA,29492,United States,,,37.77529014,-122.4407312
1336960,401 23RD ST,San Francisco,CA,28856,United States,,,37.75503073,-122.3845307
1336921,865 MARKET ST,San Francisco,CA,28853,United States,,,37.78394691,-122.4071583
1336965,2145 MARKET ST,San Francisco,CA,28862,United States,,,37.76662477,-122.4295112
1336956,667 MISSION ST,San Francisco,CA,28855,United States,,,37.78655805,-122.4010334
1336961,2001 MARKET ST,San Francisco,CA,28862,United States,,,37.76832025,-122.4271106
1337448,1475 CARROLL AVE,San Francisco,CA,58,United States,,,37.72325987,-122.3911729
1337427,1031 QUESADA AVE,San Francisco,CA,58,United States,,,37.72578914,-122.3789727
1337453,1515 GRIFFITH ST,San Francisco,CA,58,United States,,,37.72531943,-122.3813892
1337445,1460 BANCROFT AVE,San Francisco,CA,58,United States,,,37.72441324,-122.3901572
1337435,1389 UNDERWOOD AVE,San Francisco,CA,58,United States,,,37.72711043,-122.3882613
1337450,1377 FELL ST,San Francisco,CA,29492,United States,,,37.77328794,-122.4400323
1337267,34 ELLIS ST,San Francisco,CA,28852,United States,,,37.78756517,-122.4095928
1337432,1180 THOMAS AVE,San Francisco,CA,58,United States,,,37.72612524,-122.3831993
